RegionName,State,City,EndMonth,MedianHomeValue
Anacostia,DC,Washington,2020-04-30,367965.5577
Columbia Heights,DC,Washington,2020-05-31,619954.8663808521
Capitol Hill,DC,Washington,2020-05-31,871319.8270553137
Petworth,DC,Washington,2020-05-31,631591.9344
Adams Morgan,DC,Washington,2020-05-31,565168.8728742081
Shaw,DC,Washington,2020-05-31,778982.3389
Navy Yard,DC,Washington,2020-05-31,774269.8414351811
Anacostia,DC,Washington,2020-05-31,371706.0588445353
Columbia Heights,DC,Washington,2020-06-30,619911.0286
Capitol Hill,DC,Washington,2020-06-30,872887.7254302615
Petworth,DC,Washington,2020-06-30,633214.3297921465
Adams Morgan,DC,Washington,2020-06-30,564839.2003521295
Shaw,DC,Washington,2020-06-30,779440.0685172874
Navy Yard,DC,Washington,2020-06-30,774663.6763
Anacostia,DC,Washington,2020-06-30,373143.87105795136
Columbia Heights,DC,Washington,2020-07-31,620199.1827887854
Capitol Hill,DC,Washington,2020-07-31,871641.4436842254
Petworth,DC,Washington,2020-07-31,634005.1241372941
Adams Morgan,DC,Washington,2020-07-31,564822.2981
Shaw,DC,Washington,2020-07-31,779733.3860630715
Navy Yard,DC,Washington,2020-07-31,771520.5620777766
Anacostia,DC,Washington,2020-07-31,374919.38831850584
Columbia Heights,DC,Washington,2020-08-31,622660.9614919262
Capitol Hill,DC,Washington,2020-08-31,872591.1908
Petworth,DC,Washington,2020-08-31,638239.4486570545
Adams Morgan,DC,Washington,2020-08-31,565217.4674204086
Shaw,DC,Washington,2020-08-31,781547.3062721109
Navy Yard,DC,Washington,2020-08-31,764011.3382248845
Anacostia,DC,Washington,2020-08-31,378286.2513860536
Columbia Heights,DC,Washington,2020-09-30,627458.7809064499
Capitol Hill,DC,Washington,2020-09-30,877160.2945724769
Petworth,DC,Washington,2020-09-30,645137.3036668897
Adams Morgan,DC,Washington,2020-09-30,567317.3879336583
Shaw,DC,Washington,2020-09-30,786007.8210195182
Navy Yard,DC,Washington,2020-09-30,755773.2825989778
Anacostia,DC,Washington,2020-09-30,382710.17863310914
Columbia Heights,DC,Washington,2020-10-31,631631.3009
Capitol Hill,DC,Washington,2020-10-31,881194.6180076818
Petworth,DC,Washington,2020-10-31,651887.7611060491
Adams Morgan,DC,Washington,2020-10-31,569229.1607980257
Shaw,DC,Washington,2020-10-31,789473.3267149422
Navy Yard,DC,Washington,2020-10-31,749627.2440018767
Anacostia,DC,Washington,2020-10-31,387222.53350088093
Columbia Heights,DC,Washington,2020-11-30,635528.4175485327
Capitol Hill,DC,Washington,2020-11-30,885657.4183699493
Petworth,DC,Washington,2020-11-30,659068.9541750667
Adams Morgan,DC,Washington,2020-11-30,570831.9259531213
Shaw,DC,Washington,2020-11-30,793255.2664294796
Navy Yard,DC,Washington,2020-11-30,746097.4344665086
Anacostia,DC,Washington,2020-11-30,392349.2558419971
Columbia Heights,DC,Washington,2020-12-31,638044.1230200412
Capitol Hill,DC,Washington,2020-12-31,889088.9589558127
Petworth,DC,Washington,2020-12-31,665259.6790316334
Adams Morgan,DC,Washington,2020-12-31,571512.6810084773
Shaw,DC,Washington,2020-12-31,795126.695
Navy Yard,DC,Washington,2020-12-31,745614.4036515212
Anacostia,DC,Washington,2020-12-31,398310.10306731425
Columbia Heights,DC,Washington,2021-01-31,639660.6151238028
Capitol Hill,DC,Washington,2021-01-31,891102.1662314894
Petworth,DC,Washington,2021-01-31,670398.5467825619
Adams Morgan,DC,Washington,2021-01-31,571299.6847288013
Shaw,DC,Washington,2021-01-31,795238.7781648935
Navy Yard,DC,Washington,2021-01-31,745144.7916555209
Anacostia,DC,Washington,2021-01-31,404091.4653647873
Columbia Heights,DC,Washington,2021-02-28,641210.3118
Capitol Hill,DC,Washington,2021-02-28,893382.618
Petworth,DC,Washington,2021-02-28,675505.3752747807
Adams Morgan,DC,Washington,2021-02-28,570500.4701109777
Shaw,DC,Washington,2021-02-28,794749.8346018633
Navy Yard,DC,Washington,2021-02-28,743866.0496
Anacostia,DC,Washington,2021-02-28,409236.8570915155
Columbia Heights,DC,Washington,2021-03-31,644256.1645146514
Capitol Hill,DC,Washington,2021-03-31,898534.0481672398
Petworth,DC,Washington,2021-03-31,682146.0858701019
Adams Morgan,DC,Washington,2021-03-31,570750.1993408477
Shaw,DC,Washington,2021-03-31,795676.728
Navy Yard,DC,Washington,2021-03-31,741664.0982895959
Anacostia,DC,Washington,2021-03-31,414487.8491552782
Columbia Heights,DC,Washington,2021-04-30,648350.0173093461
Capitol Hill,DC,Washington,2021-04-30,906901.2615692832
Petworth,DC,Washington,2021-04-30,690142.9861234049
Adams Morgan,DC,Washington,2021-04-30,572216.8383951989
Shaw,DC,Washington,2021-04-30,800125.4330775625
Navy Yard,DC,Washington,2021-04-30,742399.8621351457
Anacostia,DC,Washington,2021-04-30,419366.5660798535
Columbia Heights,DC,Washington,2021-05-31,652880.4159321153
Capitol Hill,DC,Washington,2021-05-31,917504.342533044
Petworth,DC,Washington,2021-05-31,699086.8811261867
Adams Morgan,DC,Washington,2021-05-31,575017.7318300096
Shaw,DC,Washington,2021-05-31,806719.1721
Navy Yard,DC,Washington,2021-05-31,745455.7991965576
Anacostia,DC,Washington,2021-05-31,423771.94587089494
Columbia Heights,DC,Washington,2021-06-30,656611.3276854065
Capitol Hill,DC,Washington,2021-06-30,928776.5091
Petworth,DC,Washington,2021-06-30,708372.8701213357
Adams Morgan,DC,Washington,2021-06-30,577699.3570147437
Shaw,DC,Washington,2021-06-30,813478.4088832127
