RegionName,State,City,EndMonth,MedianHomeValue
NoMa,DC,Washington,2024-06-30,475619.6665536331
Anacostia,DC,Washington,2024-06-30,390977.33808382106
Columbia Heights,DC,Washington,2024-07-31,634370.1811893051
Capitol Hill,DC,Washington,2024-07-31,902717.5462679212
Petworth,DC,Washington,2024-07-31,669955.6067
Adams Morgan,DC,Washington,2024-07-31,579612.3519042837
Shaw,DC,Washington,2024-07-31,782104.7116048486
Navy Yard,DC,Washington,2024-07-31,671694.2321818398
NoMa,DC,Washington,2024-07-31,471933.75421399745
Anacostia,DC,Washington,2024-07-31,388823.81612886133
Columbia Heights,DC,Washington,2024-08-31,630870.528
Capitol Hill,DC,Washington,2024-08-31,900470.6813
Petworth,DC,Washington,2024-08-31,663863.0464575473
Adams Morgan,DC,Washington,2024-08-31,578123.4101758766
Shaw,DC,Washington,2024-08-31,778831.6347585294
Navy Yard,DC,Washington,2024-08-31,669778.8035293672
NoMa,DC,Washington,2024-08-31,467051.0484250298
Anacostia,DC,Washington,2024-08-31,387161.9972912892
Columbia Heights,DC,Washington,2024-09-30,630434.5351
Capitol Hill,DC,Washington,2024-09-30,902069.7207974693
Petworth,DC,Washington,2024-09-30,661105.8662794763
Adams Morgan,DC,Washington,2024-09-30,579435.4862
Shaw,DC,Washington,2024-09-30,779342.6871670164
Navy Yard,DC,Washington,2024-09-30,670164.0517491727
NoMa,DC,Washington,2024-09-30,463389.8601934401
Anacostia,DC,Washington,2024-09-30,387542.5432908523
Columbia Heights,DC,Washington,2024-10-31,630304.5918403639
Capitol Hill,DC,Washington,2024-10-31,903311.5270144698
Petworth,DC,Washington,2024-10-31,659101.1367115459
Adams Morgan,DC,Washington,2024-10-31,581161.0599910951
Shaw,DC,Washington,2024-10-31,779773.5785136297
Navy Yard,DC,Washington,2024-10-31,669250.4733663871
NoMa,DC,Washington,2024-10-31,461919.8458013448
Anacostia,DC,Washington,2024-10-31,387563.3008
