,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
106,THEFT/OTHER,Sixteenth Street Heights,2019,813
107,THEFT F/AUTO,Columbia Heights,2019,1892
108,THEFT/OTHER,Sixteenth Street Heights,2019,813
109,THEFT/OTHER,Columbia Heights,2019,1892
110,THEFT/OTHER,Columbia Heights,2019,1892
111,THEFT/OTHER,Dupont Circle,2019,1134
112,ROBBERY,Shaw,2019,1837
113,THEFT F/AUTO,Shaw,2019,1837
114,THEFT F/AUTO,Shaw,2019,1837
115,ROBBERY,Shaw,2019,1837
116,THEFT/OTHER,Sixteenth Street Heights,2019,813
117,THEFT/OTHER,Sixteenth Street Heights,2019,813
118,THEFT/OTHER,Columbia Heights,2019,1892
119,THEFT/OTHER,Dupont Circle,2019,1134
120,THEFT/OTHER,Shaw,2019,1837
121,THEFT/OTHER,Sixteenth Street Heights,2019,813
122,THEFT/OTHER,Capitol Hill,2019,1598
123,THEFT/OTHER,Adams Morgan,2019,635
124,THEFT/OTHER,Shaw,2019,1837
125,ROBBERY,Dupont Circle,2019,1134
126,THEFT/OTHER,Shaw,2019,1837
127,MOTOR VEHICLE THEFT,Columbia Heights,2019,1892
128,THEFT/OTHER,U Street Corridor,2019,288
129,THEFT/OTHER,Capitol Hill,2019,1598
130,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
131,THEFT/OTHER,Sixteenth Street Heights,2019,813
132,THEFT/OTHER,Shaw,2019,1837
133,THEFT F/AUTO,Capitol Hill,2019,1598
134,THEFT/OTHER,Capitol Hill,2019,1598
135,BURGLARY,Columbia Heights,2019,1892
136,MOTOR VEHICLE THEFT,Anacostia,2019,248
137,HOMICIDE,Petworth,2019,501
138,THEFT F/AUTO,Capitol Hill,2019,1598
139,MOTOR VEHICLE THEFT,Petworth,2019,501
140,THEFT F/AUTO,Capitol Hill,2019,1598
141,THEFT F/AUTO,Columbia Heights,2019,1892
142,THEFT/OTHER,Sixteenth Street Heights,2019,813
143,THEFT F/AUTO,Dupont Circle,2019,1134
144,THEFT F/AUTO,Capitol Hill,2019,1598
145,THEFT F/AUTO,Sixteenth Street Heights,2019,813
146,THEFT F/AUTO,Shaw,2019,1837
147,THEFT F/AUTO,Dupont Circle,2019,1134
148,THEFT F/AUTO,Shaw,2019,1837
149,THEFT/OTHER,Navy Yard,2019,359
150,THEFT F/AUTO,Shaw,2019,1837
151,THEFT/OTHER,Dupont Circle,2019,1134
152,THEFT/OTHER,Adams Morgan,2019,635
153,THEFT/OTHER,Petworth,2019,501
154,THEFT/OTHER,Shaw,2019,1837
155,THEFT/OTHER,Capitol Hill,2019,1598
156,THEFT/OTHER,Adams Morgan,2019,635
157,BURGLARY,Shaw,2019,1837
158,THEFT/OTHER,NoMa,2019,441
159,THEFT F/AUTO,Shaw,2019,1837
160,THEFT F/AUTO,Dupont Circle,2019,1134
161,THEFT/OTHER,Adams Morgan,2019,635
162,THEFT F/AUTO,Shaw,2019,1837
163,THEFT/OTHER,Adams Morgan,2019,635
164,THEFT/OTHER,Capitol Hill,2019,1598
165,THEFT/OTHER,Adams Morgan,2019,635
166,THEFT/OTHER,Shaw,2019,1837
167,THEFT F/AUTO,Sixteenth Street Heights,2019,813
168,THEFT F/AUTO,Adams Morgan,2019,635
169,THEFT/OTHER,Dupont Circle,2019,1134
170,ROBBERY,Sixteenth Street Heights,2019,813
171,THEFT/OTHER,Adams Morgan,2019,635
172,THEFT F/AUTO,Columbia Heights,2019,1892
173,ROBBERY,Adams Morgan,2019,635
174,THEFT/OTHER,Shaw,2019,1837
175,THEFT/OTHER,Dupont Circle,2019,1134
176,THEFT F/AUTO,Columbia Heights,2019,1892
177,THEFT F/AUTO,Shaw,2019,1837
178,ASSAULT W/DANGEROUS WEAPON,Anacostia,2019,248
179,THEFT/OTHER,Shaw,2019,1837
180,THEFT F/AUTO,Capitol Hill,2019,1598
181,ROBBERY,Sixteenth Street Heights,2019,813
182,THEFT F/AUTO,Petworth,2019,501
183,THEFT F/AUTO,Capitol Hill,2019,1598
184,THEFT F/AUTO,Dupont Circle,2019,1134
185,THEFT F/AUTO,Shaw,2019,1837
186,THEFT F/AUTO,Columbia Heights,2019,1892
187,THEFT F/AUTO,Capitol Hill,2019,1598
188,THEFT/OTHER,Capitol Hill,2019,1598
189,THEFT/OTHER,Columbia Heights,2019,1892
190,THEFT/OTHER,Columbia Heights,2019,1892
191,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2019,1892
192,THEFT/OTHER,Dupont Circle,2019,1134
193,ASSAULT W/DANGEROUS WEAPON,Petworth,2019,501
194,THEFT F/AUTO,U Street Corridor,2019,288
195,THEFT/OTHER,Sixteenth Street Heights,2019,813
196,THEFT F/AUTO,Shaw,2019,1837
197,ROBBERY,Capitol Hill,2019,1598
198,ROBBERY,Shaw,2019,1837
199,THEFT/OTHER,Dupont Circle,2019,1134
200,MOTOR VEHICLE THEFT,Shaw,2019,1837
201,THEFT F/AUTO,Navy Yard,2019,359
202,THEFT/OTHER,Adams Morgan,2019,635
203,THEFT/OTHER,NoMa,2019,441
204,BURGLARY,Capitol Hill,2019,1598
