,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
10701,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10702,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10703,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10704,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10705,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10706,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10707,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10708,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
10709,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
10710,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10711,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10712,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10713,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10714,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
