,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
10405,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10406,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10407,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10408,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
10409,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10410,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
10411,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10412,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
10413,BURGLARY,Cluster 26,Capitol Hill,1,2021,524
10414,ROBBERY,Cluster 26,Capitol Hill,1,2021,775
10415,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
10416,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10417,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
10418,BURGLARY,Cluster 6,Dupont Circle,1,2021,524
10419,BURGLARY,Cluster 2,Columbia Heights,1,2021,524
10420,ASSAULT W/DANGEROUS WEAPON,Cluster 28,Historic Anacostia,1,2021,469
10421,BURGLARY,Cluster 28,Historic Anacostia,1,2021,524
10422,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10423,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10424,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10425,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
10426,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10427,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
10428,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
10429,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10430,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
10431,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10432,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10433,ROBBERY,Cluster 25,Union Station,1,2021,775
10434,BURGLARY,Cluster 6,Dupont Circle,1,2021,524
10435,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10436,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10437,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10438,ROBBERY,Cluster 18,Petworth,1,2021,775
10439,ASSAULT W/DANGEROUS WEAPON,Cluster 28,Historic Anacostia,1,2021,469
10440,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10441,BURGLARY,Cluster 28,Historic Anacostia,1,2021,524
10442,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
10443,BURGLARY,Cluster 6,Dupont Circle,1,2021,524
10444,ROBBERY,Cluster 6,Dupont Circle,1,2021,775
10445,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10446,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10447,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10448,BURGLARY,Cluster 26,Capitol Hill,1,2021,524
10449,ROBBERY,Cluster 3,Shaw,1,2021,775
10450,MOTOR VEHICLE THEFT,Cluster 6,Dupont Circle,1,2021,1524
10451,ASSAULT W/DANGEROUS WEAPON,Cluster 7,Shaw,1,2021,469
10452,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10453,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
