,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
0,THEFT/OTHER,Capitol Hill,2023,1241
1,THEFT F/AUTO,Shaw,2023,1740
2,THEFT/OTHER,Capitol Hill,2023,1241
3,THEFT F/AUTO,Dupont Circle,2023,924
4,MOTOR VEHICLE THEFT,Dupont Circle,2023,924
5,THEFT/OTHER,Columbia Heights,2023,1833
6,THEFT/OTHER,Capitol Hill,2023,1241
7,THEFT/OTHER,Shaw,2023,1740
8,ROBBERY,U Street Corridor,2023,518
9,MOTOR VEHICLE THEFT,Petworth,2023,541
10,THEFT F/AUTO,Petworth,2023,541
11,THEFT/OTHER,Columbia Heights,2023,1833
12,MOTOR VEHICLE THEFT,Navy Yard,2023,776
13,THEFT/OTHER,Navy Yard,2023,776
14,MOTOR VEHICLE THEFT,Columbia Heights,2023,1833
15,THEFT F/AUTO,Shaw,2023,1740
16,THEFT F/AUTO,Anacostia,2023,275
17,THEFT/OTHER,Shaw,2023,1740
18,ASSAULT W/DANGEROUS WEAPON,Dupont Circle,2023,924
19,BURGLARY,Adams Morgan,2023,896
20,THEFT F/AUTO,NoMa,2023,420
21,THEFT/OTHER,Capitol Hill,2023,1241
22,THEFT F/AUTO,Sixteenth Street Heights,2023,985
23,THEFT F/AUTO,Adams Morgan,2023,896
24,THEFT/OTHER,Capitol Hill,2023,1241
25,THEFT/OTHER,Capitol Hill,2023,1241
26,THEFT F/AUTO,U Street Corridor,2023,518
27,THEFT F/AUTO,Shaw,2023,1740
28,THEFT F/AUTO,Sixteenth Street Heights,2023,985
29,BURGLARY,Shaw,2023,1740
30,THEFT/OTHER,Navy Yard,2023,776
31,THEFT F/AUTO,Sixteenth Street Heights,2023,985
32,THEFT/OTHER,Sixteenth Street Heights,2023,985
33,THEFT/OTHER,Columbia Heights,2023,1833
34,THEFT F/AUTO,Sixteenth Street Heights,2023,985
35,ROBBERY,Navy Yard,2023,776
36,THEFT/OTHER,Capitol Hill,2023,1241
37,THEFT F/AUTO,Dupont Circle,2023,924
38,THEFT/OTHER,Adams Morgan,2023,896
39,ROBBERY,Shaw,2023,1740
40,THEFT/OTHER,Capitol Hill,2023,1241
41,THEFT F/AUTO,Adams Morgan,2023,896
42,THEFT F/AUTO,U Street Corridor,2023,518
43,THEFT F/AUTO,Shaw,2023,1740
44,THEFT/OTHER,Capitol Hill,2023,1241
45,THEFT/OTHER,Columbia Heights,2023,1833
46,THEFT/OTHER,Capitol Hill,2023,1241
47,THEFT F/AUTO,Shaw,2023,1740
48,THEFT/OTHER,U Street Corridor,2023,518
49,THEFT F/AUTO,NoMa,2023,420
50,MOTOR VEHICLE THEFT,Dupont Circle,2023,924
51,THEFT/OTHER,Columbia Heights,2023,1833
52,THEFT F/AUTO,Sixteenth Street Heights,2023,985
53,THEFT/OTHER,Shaw,2023,1740
54,MOTOR VEHICLE THEFT,Shaw,2023,1740
55,THEFT/OTHER,Sixteenth Street Heights,2023,985
56,MOTOR VEHICLE THEFT,Capitol Hill,2023,1241
57,THEFT F/AUTO,Shaw,2023,1740
58,THEFT F/AUTO,U Street Corridor,2023,518
59,THEFT/OTHER,Columbia Heights,2023,1833
60,ROBBERY,Shaw,2023,1740
61,THEFT F/AUTO,Capitol Hill,2023,1241
62,THEFT/OTHER,Sixteenth Street Heights,2023,985
63,THEFT F/AUTO,Sixteenth Street Heights,2023,985
64,MOTOR VEHICLE THEFT,Capitol Hill,2023,1241
65,MOTOR VEHICLE THEFT,Shaw,2023,1740
66,MOTOR VEHICLE THEFT,Adams Morgan,2023,896
67,MOTOR VEHICLE THEFT,Columbia Heights,2023,1833
68,MOTOR VEHICLE THEFT,Navy Yard,2023,776
69,MOTOR VEHICLE THEFT,Navy Yard,2023,776
70,THEFT F/AUTO,U Street Corridor,2023,518
71,MOTOR VEHICLE THEFT,Petworth,2023,541
72,THEFT F/AUTO,Shaw,2023,1740
73,THEFT/OTHER,Columbia Heights,2023,1833
74,THEFT/OTHER,Dupont Circle,2023,924
75,ROBBERY,Columbia Heights,2023,1833
76,THEFT F/AUTO,Dupont Circle,2023,924
77,THEFT/OTHER,Columbia Heights,2023,1833
78,THEFT F/AUTO,Adams Morgan,2023,896
79,MOTOR VEHICLE THEFT,Shaw,2023,1740
80,ROBBERY,Shaw,2023,1740
81,THEFT F/AUTO,Petworth,2023,541
82,THEFT/OTHER,Shaw,2023,1740
83,THEFT F/AUTO,Shaw,2023,1740
84,THEFT F/AUTO,Shaw,2023,1740
85,THEFT F/AUTO,Shaw,2023,1740
86,THEFT/OTHER,Navy Yard,2023,776
87,MOTOR VEHICLE THEFT,Capitol Hill,2023,1241
88,MOTOR VEHICLE THEFT,NoMa,2023,420
