,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
0,THEFT/OTHER,Dupont Circle,2020,712
1,THEFT F/AUTO,Capitol Hill,2020,1371
2,THEFT/OTHER,Shaw,2020,1038
3,THEFT/OTHER,Capitol Hill,2020,1371
4,MOTOR VEHICLE THEFT,Anacostia,2020,308
5,THEFT/OTHER,Petworth,2020,544
6,THEFT/OTHER,Petworth,2020,544
7,MOTOR VEHICLE THEFT,Shaw,2020,1038
8,THEFT/OTHER,NoMa,2020,334
9,THEFT/OTHER,NoMa,2020,334
10,MOTOR VEHICLE THEFT,Capitol Hill,2020,1371
11,THEFT/OTHER,Sixteenth Street Heights,2020,763
12,THEFT/OTHER,Shaw,2020,1038
13,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2020,1400
14,THEFT F/AUTO,Capitol Hill,2020,1371
15,THEFT/OTHER,Petworth,2020,544
16,THEFT F/AUTO,Columbia Heights,2020,1400
17,THEFT/OTHER,Adams Morgan,2020,584
18,THEFT F/AUTO,Petworth,2020,544
19,THEFT/OTHER,Shaw,2020,1038
20,THEFT F/AUTO,Shaw,2020,1038
21,THEFT/OTHER,Sixteenth Street Heights,2020,763
22,THEFT/OTHER,Columbia Heights,2020,1400
23,THEFT/OTHER,Columbia Heights,2020,1400
24,THEFT/OTHER,Shaw,2020,1038
25,THEFT/OTHER,Capitol Hill,2020,1371
26,THEFT F/AUTO,Dupont Circle,2020,712
27,BURGLARY,Petworth,2020,544
28,THEFT/OTHER,Capitol Hill,2020,1371
29,THEFT/OTHER,Sixteenth Street Heights,2020,763
30,THEFT F/AUTO,Columbia Heights,2020,1400
31,THEFT/OTHER,Capitol Hill,2020,1371
32,THEFT F/AUTO,Columbia Heights,2020,1400
33,THEFT F/AUTO,Shaw,2020,1038
34,THEFT/OTHER,Sixteenth Street Heights,2020,763
35,THEFT F/AUTO,Columbia Heights,2020,1400
36,SEX ABUSE,Petworth,2020,544
37,THEFT/OTHER,Anacostia,2020,308
38,MOTOR VEHICLE THEFT,Columbia Heights,2020,1400
39,THEFT/OTHER,Capitol Hill,2020,1371
40,THEFT/OTHER,Columbia Heights,2020,1400
41,THEFT/OTHER,Dupont Circle,2020,712
42,THEFT/OTHER,Capitol Hill,2020,1371
43,ROBBERY,Columbia Heights,2020,1400
44,THEFT/OTHER,Petworth,2020,544
45,THEFT F/AUTO,Petworth,2020,544
46,ROBBERY,Sixteenth Street Heights,2020,763
47,THEFT F/AUTO,Adams Morgan,2020,584
48,THEFT/OTHER,Capitol Hill,2020,1371
49,THEFT F/AUTO,Shaw,2020,1038
