,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
0,BURGLARY,Petworth,2022,396
1,THEFT/OTHER,Shaw,2022,1398
2,THEFT F/AUTO,Columbia Heights,2022,1345
3,THEFT/OTHER,U Street Corridor,2022,349
4,THEFT/OTHER,Petworth,2022,396
5,THEFT F/AUTO,U Street Corridor,2022,349
6,MOTOR VEHICLE THEFT,U Street Corridor,2022,349
7,THEFT/OTHER,Dupont Circle,2022,720
8,THEFT F/AUTO,Petworth,2022,396
9,THEFT/OTHER,Capitol Hill,2022,1065
10,THEFT F/AUTO,Columbia Heights,2022,1345
11,THEFT F/AUTO,Columbia Heights,2022,1345
12,THEFT/OTHER,Capitol Hill,2022,1065
13,THEFT/OTHER,Columbia Heights,2022,1345
14,THEFT/OTHER,Sixteenth Street Heights,2022,813
15,THEFT/OTHER,Adams Morgan,2022,698
16,THEFT/OTHER,U Street Corridor,2022,349
17,ROBBERY,Sixteenth Street Heights,2022,813
18,THEFT/OTHER,Shaw,2022,1398
19,THEFT F/AUTO,Shaw,2022,1398
20,THEFT F/AUTO,Shaw,2022,1398
21,THEFT/OTHER,Columbia Heights,2022,1345
22,THEFT/OTHER,Adams Morgan,2022,698
23,ROBBERY,Sixteenth Street Heights,2022,813
24,THEFT F/AUTO,Dupont Circle,2022,720
25,ASSAULT W/DANGEROUS WEAPON,Shaw,2022,1398
26,THEFT F/AUTO,Capitol Hill,2022,1065
27,MOTOR VEHICLE THEFT,Shaw,2022,1398
28,THEFT/OTHER,Capitol Hill,2022,1065
29,THEFT F/AUTO,Shaw,2022,1398
30,MOTOR VEHICLE THEFT,NoMa,2022,447
31,THEFT F/AUTO,Columbia Heights,2022,1345
32,THEFT F/AUTO,Shaw,2022,1398
33,THEFT/OTHER,Shaw,2022,1398
34,MOTOR VEHICLE THEFT,Columbia Heights,2022,1345
35,THEFT F/AUTO,Dupont Circle,2022,720
36,THEFT/OTHER,Sixteenth Street Heights,2022,813
37,ASSAULT W/DANGEROUS WEAPON,Capitol Hill,2022,1065
38,THEFT F/AUTO,Adams Morgan,2022,698
39,THEFT/OTHER,Navy Yard,2022,528
40,THEFT/OTHER,Dupont Circle,2022,720
41,ASSAULT W/DANGEROUS WEAPON,Petworth,2022,396
42,THEFT/OTHER,Shaw,2022,1398
43,THEFT F/AUTO,Shaw,2022,1398
44,THEFT F/AUTO,Columbia Heights,2022,1345
45,MOTOR VEHICLE THEFT,Columbia Heights,2022,1345
46,THEFT/OTHER,Sixteenth Street Heights,2022,813
47,THEFT F/AUTO,Columbia Heights,2022,1345
48,THEFT/OTHER,Petworth,2022,396
49,THEFT/OTHER,Columbia Heights,2022,1345
50,THEFT/OTHER,Columbia Heights,2022,1345
51,MOTOR VEHICLE THEFT,NoMa,2022,447
52,BURGLARY,Sixteenth Street Heights,2022,813
53,THEFT/OTHER,Sixteenth Street Heights,2022,813
54,THEFT F/AUTO,Dupont Circle,2022,720
55,MOTOR VEHICLE THEFT,Adams Morgan,2022,698
56,MOTOR VEHICLE THEFT,Columbia Heights,2022,1345
57,THEFT/OTHER,Shaw,2022,1398
58,THEFT/OTHER,Dupont Circle,2022,720
59,ASSAULT W/DANGEROUS WEAPON,Shaw,2022,1398
60,THEFT/OTHER,Dupont Circle,2022,720
61,THEFT F/AUTO,Shaw,2022,1398
62,THEFT F/AUTO,Sixteenth Street Heights,2022,813
63,THEFT F/AUTO,Columbia Heights,2022,1345
64,THEFT/OTHER,Dupont Circle,2022,720
65,THEFT/OTHER,Adams Morgan,2022,698
66,THEFT/OTHER,Capitol Hill,2022,1065
67,ROBBERY,NoMa,2022,447
68,THEFT F/AUTO,Dupont Circle,2022,720
69,THEFT/OTHER,Adams Morgan,2022,698
70,THEFT/OTHER,Shaw,2022,1398
71,THEFT/OTHER,NoMa,2022,447
72,THEFT F/AUTO,Capitol Hill,2022,1065
73,THEFT/OTHER,Navy Yard,2022,528
74,THEFT/OTHER,Navy Yard,2022,528
75,THEFT/OTHER,Navy Yard,2022,528
76,THEFT F/AUTO,Shaw,2022,1398
77,MOTOR VEHICLE THEFT,Navy Yard,2022,528
78,ROBBERY,Shaw,2022,1398
79,THEFT/OTHER,Sixteenth Street Heights,2022,813
80,THEFT F/AUTO,NoMa,2022,447
81,THEFT/OTHER,Adams Morgan,2022,698
82,THEFT F/AUTO,Adams Morgan,2022,698
83,THEFT/OTHER,Adams Morgan,2022,698
84,THEFT F/AUTO,Shaw,2022,1398
85,MOTOR VEHICLE THEFT,Petworth,2022,396
86,MOTOR VEHICLE THEFT,Navy Yard,2022,528
87,THEFT/OTHER,Capitol Hill,2022,1065
88,MOTOR VEHICLE THEFT,Shaw,2022,1398
89,MOTOR VEHICLE THEFT,Dupont Circle,2022,720
90,THEFT/OTHER,Adams Morgan,2022,698
91,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2022,813
92,THEFT/OTHER,Shaw,2022,1398
93,THEFT/OTHER,Dupont Circle,2022,720
94,THEFT/OTHER,Shaw,2022,1398
95,THEFT/OTHER,Adams Morgan,2022,698
96,THEFT F/AUTO,Capitol Hill,2022,1065
97,THEFT F/AUTO,Sixteenth Street Heights,2022,813
98,THEFT/OTHER,Anacostia,2022,226
99,THEFT F/AUTO,Columbia Heights,2022,1345
100,THEFT F/AUTO,Columbia Heights,2022,1345
101,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2022,813
102,THEFT F/AUTO,Dupont Circle,2022,720
103,ROBBERY,Capitol Hill,2022,1065
104,THEFT F/AUTO,Columbia Heights,2022,1345
105,THEFT/OTHER,Navy Yard,2022,528
106,MOTOR VEHICLE THEFT,Petworth,2022,396
107,MOTOR VEHICLE THEFT,Navy Yard,2022,528
108,THEFT F/AUTO,Shaw,2022,1398
109,ASSAULT W/DANGEROUS WEAPON,Sixteenth Street Heights,2022,813
110,THEFT/OTHER,Dupont Circle,2022,720
111,ASSAULT W/DANGEROUS WEAPON,NoMa,2022,447
112,THEFT F/AUTO,Shaw,2022,1398
113,THEFT/OTHER,NoMa,2022,447
114,THEFT/OTHER,Columbia Heights,2022,1345
115,MOTOR VEHICLE THEFT,Columbia Heights,2022,1345
116,THEFT/OTHER,Columbia Heights,2022,1345
117,THEFT/OTHER,Capitol Hill,2022,1065
118,BURGLARY,Dupont Circle,2022,720
119,THEFT F/AUTO,Capitol Hill,2022,1065
120,THEFT/OTHER,Sixteenth Street Heights,2022,813
121,THEFT/OTHER,Shaw,2022,1398
122,THEFT F/AUTO,Sixteenth Street Heights,2022,813
123,THEFT F/AUTO,Shaw,2022,1398
124,THEFT F/AUTO,Columbia Heights,2022,1345
125,THEFT/OTHER,Adams Morgan,2022,698
126,THEFT/OTHER,Capitol Hill,2022,1065
127,THEFT/OTHER,Columbia Heights,2022,1345
128,THEFT F/AUTO,Sixteenth Street Heights,2022,813
129,THEFT/OTHER,Sixteenth Street Heights,2022,813
130,ROBBERY,Navy Yard,2022,528
131,THEFT F/AUTO,Columbia Heights,2022,1345
132,THEFT/OTHER,Shaw,2022,1398
133,THEFT F/AUTO,Capitol Hill,2022,1065
134,THEFT/OTHER,Dupont Circle,2022,720
135,THEFT/OTHER,Shaw,2022,1398
136,THEFT F/AUTO,Columbia Heights,2022,1345
137,THEFT/OTHER,Capitol Hill,2022,1065
138,THEFT/OTHER,Dupont Circle,2022,720
139,THEFT/OTHER,Capitol Hill,2022,1065
140,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2022,1345
141,THEFT F/AUTO,Shaw,2022,1398
142,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2022,813
143,THEFT/OTHER,Capitol Hill,2022,1065
144,THEFT/OTHER,Columbia Heights,2022,1345
145,THEFT F/AUTO,Capitol Hill,2022,1065
146,THEFT/OTHER,U Street Corridor,2022,349
147,THEFT/OTHER,Columbia Heights,2022,1345
148,MOTOR VEHICLE THEFT,Dupont Circle,2022,720
149,ROBBERY,Columbia Heights,2022,1345
150,THEFT F/AUTO,Sixteenth Street Heights,2022,813
151,THEFT/OTHER,Columbia Heights,2022,1345
152,ROBBERY,Shaw,2022,1398
153,THEFT F/AUTO,Shaw,2022,1398
154,MOTOR VEHICLE THEFT,NoMa,2022,447
155,THEFT/OTHER,Shaw,2022,1398
156,MOTOR VEHICLE THEFT,NoMa,2022,447
157,THEFT/OTHER,Columbia Heights,2022,1345
158,BURGLARY,Columbia Heights,2022,1345
159,ASSAULT W/DANGEROUS WEAPON,Capitol Hill,2022,1065
160,ROBBERY,Dupont Circle,2022,720
161,MOTOR VEHICLE THEFT,Columbia Heights,2022,1345
162,THEFT F/AUTO,Shaw,2022,1398
163,THEFT/OTHER,Sixteenth Street Heights,2022,813
164,THEFT F/AUTO,Anacostia,2022,226
165,THEFT/OTHER,Sixteenth Street Heights,2022,813
166,BURGLARY,Navy Yard,2022,528
167,THEFT/OTHER,NoMa,2022,447
168,THEFT F/AUTO,Sixteenth Street Heights,2022,813
169,MOTOR VEHICLE THEFT,Dupont Circle,2022,720
170,THEFT F/AUTO,Petworth,2022,396
171,THEFT/OTHER,Dupont Circle,2022,720
172,THEFT/OTHER,Capitol Hill,2022,1065
173,ROBBERY,Columbia Heights,2022,1345
174,MOTOR VEHICLE THEFT,Navy Yard,2022,528
175,BURGLARY,Anacostia,2022,226
176,THEFT/OTHER,Capitol Hill,2022,1065
177,THEFT/OTHER,NoMa,2022,447
178,MOTOR VEHICLE THEFT,Shaw,2022,1398
179,MOTOR VEHICLE THEFT,Adams Morgan,2022,698
180,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2022,813
181,THEFT/OTHER,Capitol Hill,2022,1065
182,MOTOR VEHICLE THEFT,Shaw,2022,1398
183,THEFT/OTHER,Shaw,2022,1398
184,THEFT/OTHER,Dupont Circle,2022,720
185,THEFT F/AUTO,Shaw,2022,1398
186,THEFT F/AUTO,Columbia Heights,2022,1345
187,THEFT/OTHER,Sixteenth Street Heights,2022,813
188,THEFT/OTHER,Petworth,2022,396
189,ROBBERY,Anacostia,2022,226
