,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
48,THEFT/OTHER,U Street Corridor,2024,287
49,THEFT F/AUTO,Capitol Hill,2024,1138
50,HOMICIDE,Columbia Heights,2024,1545
51,THEFT/OTHER,Columbia Heights,2024,1545
52,THEFT/OTHER,Capitol Hill,2024,1138
53,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
54,THEFT F/AUTO,Capitol Hill,2024,1138
55,THEFT F/AUTO,Shaw,2024,1394
56,THEFT F/AUTO,Petworth,2024,433
57,THEFT/OTHER,Columbia Heights,2024,1545
58,THEFT/OTHER,Capitol Hill,2024,1138
59,MOTOR VEHICLE THEFT,NoMa,2024,370
60,THEFT F/AUTO,Sixteenth Street Heights,2024,839
61,THEFT F/AUTO,Shaw,2024,1394
62,THEFT/OTHER,Dupont Circle,2024,696
63,SEX ABUSE,Dupont Circle,2024,696
64,THEFT/OTHER,Adams Morgan,2024,686
65,THEFT/OTHER,Adams Morgan,2024,686
66,THEFT F/AUTO,Sixteenth Street Heights,2024,839
67,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
68,THEFT/OTHER,Navy Yard,2024,606
69,THEFT/OTHER,Dupont Circle,2024,696
70,MOTOR VEHICLE THEFT,U Street Corridor,2024,287
71,MOTOR VEHICLE THEFT,Dupont Circle,2024,696
72,THEFT F/AUTO,Navy Yard,2024,606
73,THEFT/OTHER,U Street Corridor,2024,287
74,THEFT/OTHER,Columbia Heights,2024,1545
75,THEFT/OTHER,NoMa,2024,370
76,ROBBERY,U Street Corridor,2024,287
77,THEFT/OTHER,Shaw,2024,1394
78,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
79,ROBBERY,Columbia Heights,2024,1545
80,THEFT/OTHER,Shaw,2024,1394
81,THEFT F/AUTO,Capitol Hill,2024,1138
82,THEFT/OTHER,Sixteenth Street Heights,2024,839
83,THEFT F/AUTO,Shaw,2024,1394
84,THEFT/OTHER,Capitol Hill,2024,1138
85,THEFT F/AUTO,Petworth,2024,433
86,THEFT/OTHER,Shaw,2024,1394
87,ROBBERY,Columbia Heights,2024,1545
88,THEFT F/AUTO,Columbia Heights,2024,1545
89,THEFT/OTHER,U Street Corridor,2024,287
90,THEFT/OTHER,NoMa,2024,370
91,THEFT/OTHER,Columbia Heights,2024,1545
92,THEFT F/AUTO,Capitol Hill,2024,1138
93,THEFT F/AUTO,Sixteenth Street Heights,2024,839
94,THEFT/OTHER,Columbia Heights,2024,1545
95,THEFT F/AUTO,Shaw,2024,1394
96,THEFT/OTHER,Adams Morgan,2024,686
97,THEFT F/AUTO,Adams Morgan,2024,686
98,THEFT/OTHER,Shaw,2024,1394
99,THEFT F/AUTO,Petworth,2024,433
100,THEFT F/AUTO,Shaw,2024,1394
101,THEFT/OTHER,Adams Morgan,2024,686
102,THEFT/OTHER,U Street Corridor,2024,287
103,THEFT/OTHER,Dupont Circle,2024,696
104,THEFT/OTHER,Columbia Heights,2024,1545
105,MOTOR VEHICLE THEFT,NoMa,2024,370
106,MOTOR VEHICLE THEFT,Anacostia,2024,177
107,MOTOR VEHICLE THEFT,Anacostia,2024,177
108,THEFT/OTHER,Shaw,2024,1394
109,THEFT/OTHER,Navy Yard,2024,606
110,MOTOR VEHICLE THEFT,Anacostia,2024,177
111,THEFT F/AUTO,Columbia Heights,2024,1545
112,ROBBERY,Shaw,2024,1394
113,ROBBERY,Sixteenth Street Heights,2024,839
114,THEFT F/AUTO,Adams Morgan,2024,686
115,BURGLARY,Adams Morgan,2024,686
116,THEFT F/AUTO,Columbia Heights,2024,1545
117,BURGLARY,Columbia Heights,2024,1545
118,THEFT F/AUTO,Columbia Heights,2024,1545
119,THEFT/OTHER,Columbia Heights,2024,1545
120,ROBBERY,Capitol Hill,2024,1138
121,MOTOR VEHICLE THEFT,Navy Yard,2024,606
122,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
123,THEFT F/AUTO,Sixteenth Street Heights,2024,839
124,THEFT F/AUTO,U Street Corridor,2024,287
125,THEFT/OTHER,NoMa,2024,370
126,THEFT/OTHER,Adams Morgan,2024,686
127,ROBBERY,Sixteenth Street Heights,2024,839
128,BURGLARY,Anacostia,2024,177
129,THEFT/OTHER,Navy Yard,2024,606
130,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
131,THEFT F/AUTO,Capitol Hill,2024,1138
132,THEFT/OTHER,Columbia Heights,2024,1545
133,THEFT F/AUTO,Shaw,2024,1394
134,THEFT/OTHER,Columbia Heights,2024,1545
135,THEFT F/AUTO,U Street Corridor,2024,287
136,THEFT/OTHER,Columbia Heights,2024,1545
137,THEFT/OTHER,NoMa,2024,370
138,THEFT/OTHER,Sixteenth Street Heights,2024,839
139,ROBBERY,Columbia Heights,2024,1545
140,THEFT/OTHER,Adams Morgan,2024,686
141,THEFT/OTHER,Adams Morgan,2024,686
142,THEFT/OTHER,Columbia Heights,2024,1545
143,THEFT/OTHER,Columbia Heights,2024,1545
144,ASSAULT W/DANGEROUS WEAPON,U Street Corridor,2024,287
145,THEFT/OTHER,Adams Morgan,2024,686
146,THEFT/OTHER,Petworth,2024,433
147,THEFT/OTHER,Adams Morgan,2024,686
148,THEFT/OTHER,Dupont Circle,2024,696
149,THEFT/OTHER,Capitol Hill,2024,1138
150,THEFT/OTHER,Dupont Circle,2024,696
151,THEFT/OTHER,Petworth,2024,433
152,THEFT/OTHER,Capitol Hill,2024,1138
153,THEFT/OTHER,Capitol Hill,2024,1138
154,THEFT/OTHER,Columbia Heights,2024,1545
155,THEFT/OTHER,Adams Morgan,2024,686
156,THEFT/OTHER,Capitol Hill,2024,1138
157,THEFT F/AUTO,Shaw,2024,1394
158,THEFT/OTHER,Shaw,2024,1394
159,ASSAULT W/DANGEROUS WEAPON,Capitol Hill,2024,1138
160,THEFT F/AUTO,Shaw,2024,1394
161,THEFT/OTHER,NoMa,2024,370
162,THEFT/OTHER,Columbia Heights,2024,1545
163,THEFT/OTHER,Capitol Hill,2024,1138
164,THEFT/OTHER,Adams Morgan,2024,686
165,THEFT/OTHER,Shaw,2024,1394
166,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2024,839
167,THEFT F/AUTO,U Street Corridor,2024,287
168,ROBBERY,Columbia Heights,2024,1545
169,THEFT/OTHER,Adams Morgan,2024,686
170,THEFT F/AUTO,Columbia Heights,2024,1545
171,THEFT F/AUTO,Capitol Hill,2024,1138
172,THEFT F/AUTO,Adams Morgan,2024,686
173,THEFT/OTHER,Shaw,2024,1394
174,THEFT/OTHER,Capitol Hill,2024,1138
175,THEFT F/AUTO,Shaw,2024,1394
176,THEFT/OTHER,Shaw,2024,1394
177,THEFT/OTHER,Columbia Heights,2024,1545
178,THEFT/OTHER,Dupont Circle,2024,696
179,THEFT/OTHER,Sixteenth Street Heights,2024,839
180,THEFT/OTHER,Columbia Heights,2024,1545
181,THEFT/OTHER,Capitol Hill,2024,1138
182,THEFT/OTHER,Petworth,2024,433
183,THEFT/OTHER,Capitol Hill,2024,1138
184,THEFT/OTHER,Capitol Hill,2024,1138
185,THEFT/OTHER,Anacostia,2024,177
186,THEFT F/AUTO,Navy Yard,2024,606
187,THEFT/OTHER,Adams Morgan,2024,686
188,THEFT/OTHER,Sixteenth Street Heights,2024,839
189,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
190,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
191,THEFT F/AUTO,Sixteenth Street Heights,2024,839
192,THEFT/OTHER,Shaw,2024,1394
193,THEFT/OTHER,Shaw,2024,1394
194,THEFT/OTHER,Columbia Heights,2024,1545
195,THEFT F/AUTO,Shaw,2024,1394
196,MOTOR VEHICLE THEFT,Shaw,2024,1394
197,THEFT F/AUTO,Adams Morgan,2024,686
198,THEFT F/AUTO,Capitol Hill,2024,1138
199,MOTOR VEHICLE THEFT,Petworth,2024,433
200,THEFT/OTHER,Sixteenth Street Heights,2024,839
201,THEFT/OTHER,Adams Morgan,2024,686
202,THEFT/OTHER,Shaw,2024,1394
203,THEFT F/AUTO,Navy Yard,2024,606
204,THEFT/OTHER,NoMa,2024,370
205,THEFT/OTHER,Dupont Circle,2024,696
206,THEFT/OTHER,Capitol Hill,2024,1138
207,THEFT/OTHER,Capitol Hill,2024,1138
208,THEFT/OTHER,Dupont Circle,2024,696
209,THEFT/OTHER,Adams Morgan,2024,686
210,THEFT/OTHER,Shaw,2024,1394
211,THEFT/OTHER,Capitol Hill,2024,1138
212,THEFT/OTHER,Dupont Circle,2024,696
213,THEFT/OTHER,Navy Yard,2024,606
214,THEFT/OTHER,Capitol Hill,2024,1138
215,THEFT/OTHER,Capitol Hill,2024,1138
216,THEFT/OTHER,Capitol Hill,2024,1138
217,THEFT/OTHER,Adams Morgan,2024,686
218,THEFT/OTHER,Dupont Circle,2024,696
219,THEFT/OTHER,Dupont Circle,2024,696
220,THEFT/OTHER,Sixteenth Street Heights,2024,839
221,THEFT/OTHER,Adams Morgan,2024,686
222,THEFT/OTHER,Petworth,2024,433
223,THEFT/OTHER,Columbia Heights,2024,1545
224,THEFT/OTHER,Dupont Circle,2024,696
225,THEFT/OTHER,U Street Corridor,2024,287
226,THEFT/OTHER,Shaw,2024,1394
227,THEFT/OTHER,NoMa,2024,370
228,THEFT/OTHER,Capitol Hill,2024,1138
229,THEFT/OTHER,Shaw,2024,1394
230,THEFT F/AUTO,Shaw,2024,1394
231,THEFT/OTHER,U Street Corridor,2024,287
232,THEFT/OTHER,Dupont Circle,2024,696
233,THEFT/OTHER,Capitol Hill,2024,1138
234,ROBBERY,Navy Yard,2024,606
235,ROBBERY,Columbia Heights,2024,1545
236,THEFT/OTHER,Anacostia,2024,177
237,THEFT/OTHER,Shaw,2024,1394
238,THEFT F/AUTO,Navy Yard,2024,606
239,THEFT/OTHER,Shaw,2024,1394
240,THEFT F/AUTO,Columbia Heights,2024,1545
241,THEFT/OTHER,Columbia Heights,2024,1545
242,THEFT/OTHER,Columbia Heights,2024,1545
243,THEFT F/AUTO,Columbia Heights,2024,1545
244,THEFT/OTHER,Shaw,2024,1394
245,THEFT/OTHER,Capitol Hill,2024,1138
246,THEFT/OTHER,Sixteenth Street Heights,2024,839
247,THEFT F/AUTO,Dupont Circle,2024,696
248,THEFT F/AUTO,Columbia Heights,2024,1545
249,THEFT F/AUTO,Capitol Hill,2024,1138
250,THEFT/OTHER,Shaw,2024,1394
251,BURGLARY,Shaw,2024,1394
252,THEFT/OTHER,Navy Yard,2024,606
253,THEFT/OTHER,NoMa,2024,370
254,THEFT/OTHER,Shaw,2024,1394
255,THEFT F/AUTO,Columbia Heights,2024,1545
256,MOTOR VEHICLE THEFT,Shaw,2024,1394
257,THEFT F/AUTO,Shaw,2024,1394
258,THEFT/OTHER,Sixteenth Street Heights,2024,839
259,THEFT F/AUTO,Sixteenth Street Heights,2024,839
260,THEFT/OTHER,Capitol Hill,2024,1138
261,THEFT/OTHER,Shaw,2024,1394
262,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2024,839
263,THEFT/OTHER,Petworth,2024,433
264,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2024,839
265,THEFT/OTHER,Sixteenth Street Heights,2024,839
266,BURGLARY,Columbia Heights,2024,1545
267,MOTOR VEHICLE THEFT,Adams Morgan,2024,686
268,THEFT F/AUTO,Sixteenth Street Heights,2024,839
269,THEFT/OTHER,Dupont Circle,2024,696
270,THEFT/OTHER,Petworth,2024,433
271,THEFT F/AUTO,Petworth,2024,433
272,THEFT F/AUTO,Columbia Heights,2024,1545
273,ROBBERY,Columbia Heights,2024,1545
274,ROBBERY,Shaw,2024,1394
275,THEFT/OTHER,Columbia Heights,2024,1545
276,MOTOR VEHICLE THEFT,Petworth,2024,433
277,THEFT F/AUTO,Sixteenth Street Heights,2024,839
278,THEFT/OTHER,Shaw,2024,1394
279,THEFT/OTHER,Sixteenth Street Heights,2024,839
280,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
281,THEFT F/AUTO,Shaw,2024,1394
282,MOTOR VEHICLE THEFT,Shaw,2024,1394
283,THEFT F/AUTO,Dupont Circle,2024,696
284,THEFT/OTHER,Shaw,2024,1394
285,THEFT/OTHER,Capitol Hill,2024,1138
286,THEFT/OTHER,Petworth,2024,433
287,THEFT/OTHER,Dupont Circle,2024,696
288,THEFT/OTHER,Columbia Heights,2024,1545
289,THEFT/OTHER,Petworth,2024,433
290,THEFT/OTHER,Capitol Hill,2024,1138
291,THEFT/OTHER,Anacostia,2024,177
292,THEFT/OTHER,Adams Morgan,2024,686
293,THEFT/OTHER,Dupont Circle,2024,696
294,THEFT/OTHER,NoMa,2024,370
295,THEFT/OTHER,Capitol Hill,2024,1138
296,THEFT/OTHER,Shaw,2024,1394
297,THEFT F/AUTO,Navy Yard,2024,606
298,THEFT/OTHER,Dupont Circle,2024,696
299,THEFT F/AUTO,NoMa,2024,370
300,THEFT/OTHER,Capitol Hill,2024,1138
301,MOTOR VEHICLE THEFT,Shaw,2024,1394
302,MOTOR VEHICLE THEFT,NoMa,2024,370
303,THEFT/OTHER,Capitol Hill,2024,1138
304,THEFT/OTHER,Dupont Circle,2024,696
305,THEFT/OTHER,Capitol Hill,2024,1138
306,THEFT/OTHER,Adams Morgan,2024,686
307,THEFT/OTHER,Columbia Heights,2024,1545
308,THEFT/OTHER,Columbia Heights,2024,1545
309,THEFT/OTHER,Capitol Hill,2024,1138
310,THEFT F/AUTO,Columbia Heights,2024,1545
311,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2024,839
312,THEFT F/AUTO,Columbia Heights,2024,1545
313,THEFT/OTHER,Sixteenth Street Heights,2024,839
314,THEFT F/AUTO,Capitol Hill,2024,1138
315,MOTOR VEHICLE THEFT,Adams Morgan,2024,686
316,THEFT/OTHER,Adams Morgan,2024,686
317,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
318,MOTOR VEHICLE THEFT,NoMa,2024,370
319,ASSAULT W/DANGEROUS WEAPON,Shaw,2024,1394
320,THEFT/OTHER,Shaw,2024,1394
321,THEFT/OTHER,Sixteenth Street Heights,2024,839
322,THEFT F/AUTO,Petworth,2024,433
323,THEFT/OTHER,Dupont Circle,2024,696
324,THEFT/OTHER,Columbia Heights,2024,1545
325,THEFT/OTHER,Adams Morgan,2024,686
326,THEFT F/AUTO,Navy Yard,2024,606
327,THEFT F/AUTO,Shaw,2024,1394
328,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
329,THEFT/OTHER,Columbia Heights,2024,1545
330,THEFT/OTHER,Adams Morgan,2024,686
331,THEFT/OTHER,NoMa,2024,370
332,THEFT/OTHER,Petworth,2024,433
333,MOTOR VEHICLE THEFT,U Street Corridor,2024,287
334,THEFT F/AUTO,Shaw,2024,1394
335,THEFT/OTHER,Capitol Hill,2024,1138
336,THEFT/OTHER,Adams Morgan,2024,686
337,THEFT/OTHER,Adams Morgan,2024,686
338,THEFT/OTHER,Columbia Heights,2024,1545
339,THEFT/OTHER,Navy Yard,2024,606
340,THEFT/OTHER,Capitol Hill,2024,1138
341,THEFT/OTHER,Sixteenth Street Heights,2024,839
342,THEFT F/AUTO,Shaw,2024,1394
343,THEFT F/AUTO,U Street Corridor,2024,287
344,THEFT/OTHER,Dupont Circle,2024,696
345,MOTOR VEHICLE THEFT,Navy Yard,2024,606
346,THEFT/OTHER,Sixteenth Street Heights,2024,839
347,THEFT F/AUTO,Capitol Hill,2024,1138
348,THEFT/OTHER,Sixteenth Street Heights,2024,839
349,THEFT F/AUTO,Columbia Heights,2024,1545
350,THEFT/OTHER,Columbia Heights,2024,1545
351,ROBBERY,Columbia Heights,2024,1545
352,THEFT F/AUTO,Capitol Hill,2024,1138
353,THEFT F/AUTO,Shaw,2024,1394
354,THEFT F/AUTO,U Street Corridor,2024,287
355,THEFT F/AUTO,Navy Yard,2024,606
356,THEFT/OTHER,Capitol Hill,2024,1138
357,THEFT/OTHER,Sixteenth Street Heights,2024,839
358,THEFT/OTHER,Anacostia,2024,177
359,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
360,THEFT/OTHER,Shaw,2024,1394
361,THEFT/OTHER,Capitol Hill,2024,1138
362,THEFT F/AUTO,Dupont Circle,2024,696
363,MOTOR VEHICLE THEFT,Shaw,2024,1394
364,THEFT/OTHER,Shaw,2024,1394
365,THEFT/OTHER,Dupont Circle,2024,696
366,THEFT/OTHER,Dupont Circle,2024,696
367,THEFT/OTHER,Sixteenth Street Heights,2024,839
368,THEFT/OTHER,Dupont Circle,2024,696
369,THEFT/OTHER,Shaw,2024,1394
370,THEFT/OTHER,Columbia Heights,2024,1545
371,THEFT/OTHER,Adams Morgan,2024,686
372,THEFT/OTHER,Capitol Hill,2024,1138
373,THEFT/OTHER,Sixteenth Street Heights,2024,839
374,THEFT F/AUTO,Capitol Hill,2024,1138
375,THEFT F/AUTO,Adams Morgan,2024,686
376,MOTOR VEHICLE THEFT,Navy Yard,2024,606
377,THEFT/OTHER,Columbia Heights,2024,1545
378,THEFT/OTHER,Dupont Circle,2024,696
379,THEFT F/AUTO,Shaw,2024,1394
380,MOTOR VEHICLE THEFT,Petworth,2024,433
381,MOTOR VEHICLE THEFT,Navy Yard,2024,606
382,ROBBERY,Columbia Heights,2024,1545
383,THEFT/OTHER,Petworth,2024,433
384,THEFT/OTHER,Shaw,2024,1394
385,THEFT/OTHER,Dupont Circle,2024,696
386,MOTOR VEHICLE THEFT,Shaw,2024,1394
387,ROBBERY,Columbia Heights,2024,1545
388,THEFT/OTHER,Adams Morgan,2024,686
389,BURGLARY,Navy Yard,2024,606
390,THEFT/OTHER,Capitol Hill,2024,1138
391,ROBBERY,Shaw,2024,1394
392,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
393,THEFT F/AUTO,Dupont Circle,2024,696
394,THEFT/OTHER,Capitol Hill,2024,1138
395,THEFT/OTHER,Shaw,2024,1394
396,THEFT/OTHER,Dupont Circle,2024,696
397,THEFT/OTHER,Shaw,2024,1394
398,THEFT/OTHER,Shaw,2024,1394
399,THEFT/OTHER,NoMa,2024,370
400,THEFT F/AUTO,Columbia Heights,2024,1545
401,THEFT F/AUTO,Sixteenth Street Heights,2024,839
402,THEFT F/AUTO,Shaw,2024,1394
403,THEFT/OTHER,Dupont Circle,2024,696
404,MOTOR VEHICLE THEFT,NoMa,2024,370
405,THEFT F/AUTO,Capitol Hill,2024,1138
406,THEFT F/AUTO,Navy Yard,2024,606
407,THEFT/OTHER,Dupont Circle,2024,696
408,THEFT/OTHER,Sixteenth Street Heights,2024,839
409,MOTOR VEHICLE THEFT,Petworth,2024,433
410,THEFT/OTHER,Sixteenth Street Heights,2024,839
411,MOTOR VEHICLE THEFT,NoMa,2024,370
412,THEFT F/AUTO,Adams Morgan,2024,686
413,THEFT/OTHER,Adams Morgan,2024,686
414,THEFT/OTHER,Anacostia,2024,177
415,ROBBERY,Shaw,2024,1394
416,THEFT F/AUTO,Columbia Heights,2024,1545
417,THEFT/OTHER,Columbia Heights,2024,1545
418,THEFT/OTHER,U Street Corridor,2024,287
419,THEFT F/AUTO,Capitol Hill,2024,1138
420,MOTOR VEHICLE THEFT,Navy Yard,2024,606
421,THEFT/OTHER,NoMa,2024,370
422,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
423,THEFT F/AUTO,Capitol Hill,2024,1138
424,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
425,THEFT/OTHER,Sixteenth Street Heights,2024,839
426,THEFT F/AUTO,Anacostia,2024,177
427,THEFT/OTHER,Sixteenth Street Heights,2024,839
428,THEFT F/AUTO,Capitol Hill,2024,1138
429,ROBBERY,Columbia Heights,2024,1545
430,THEFT/OTHER,Adams Morgan,2024,686
431,THEFT/OTHER,Columbia Heights,2024,1545
432,THEFT/OTHER,Columbia Heights,2024,1545
433,THEFT/OTHER,Shaw,2024,1394
434,THEFT/OTHER,Shaw,2024,1394
435,THEFT/OTHER,Columbia Heights,2024,1545
436,THEFT/OTHER,Shaw,2024,1394
437,THEFT/OTHER,Shaw,2024,1394
438,THEFT F/AUTO,Sixteenth Street Heights,2024,839
439,THEFT/OTHER,Columbia Heights,2024,1545
440,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
441,THEFT/OTHER,Petworth,2024,433
442,THEFT/OTHER,Sixteenth Street Heights,2024,839
443,THEFT/OTHER,Capitol Hill,2024,1138
444,THEFT/OTHER,Sixteenth Street Heights,2024,839
445,THEFT/OTHER,Adams Morgan,2024,686
446,THEFT/OTHER,Capitol Hill,2024,1138
447,THEFT F/AUTO,Dupont Circle,2024,696
448,THEFT/OTHER,Capitol Hill,2024,1138
449,THEFT/OTHER,Columbia Heights,2024,1545
450,THEFT/OTHER,Dupont Circle,2024,696
451,THEFT F/AUTO,Navy Yard,2024,606
452,THEFT/OTHER,Columbia Heights,2024,1545
453,THEFT F/AUTO,Anacostia,2024,177
454,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
455,THEFT F/AUTO,Capitol Hill,2024,1138
456,ROBBERY,Navy Yard,2024,606
457,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
458,THEFT/OTHER,Navy Yard,2024,606
459,THEFT F/AUTO,Capitol Hill,2024,1138
460,ROBBERY,Columbia Heights,2024,1545
461,THEFT/OTHER,Columbia Heights,2024,1545
462,THEFT/OTHER,Sixteenth Street Heights,2024,839
463,THEFT F/AUTO,Columbia Heights,2024,1545
464,MOTOR VEHICLE THEFT,Navy Yard,2024,606
465,THEFT/OTHER,Sixteenth Street Heights,2024,839
466,THEFT F/AUTO,Shaw,2024,1394
467,THEFT/OTHER,Adams Morgan,2024,686
468,THEFT F/AUTO,Capitol Hill,2024,1138
469,THEFT/OTHER,Shaw,2024,1394
470,THEFT/OTHER,Sixteenth Street Heights,2024,839
471,THEFT/OTHER,Columbia Heights,2024,1545
472,THEFT F/AUTO,Navy Yard,2024,606
473,THEFT/OTHER,Columbia Heights,2024,1545
474,THEFT/OTHER,Anacostia,2024,177
475,BURGLARY,Shaw,2024,1394
476,THEFT F/AUTO,NoMa,2024,370
477,THEFT/OTHER,Columbia Heights,2024,1545
478,BURGLARY,Columbia Heights,2024,1545
479,THEFT F/AUTO,Columbia Heights,2024,1545
480,THEFT/OTHER,Capitol Hill,2024,1138
481,BURGLARY,Shaw,2024,1394
482,THEFT/OTHER,Columbia Heights,2024,1545
483,THEFT F/AUTO,Shaw,2024,1394
484,THEFT F/AUTO,Shaw,2024,1394
485,THEFT F/AUTO,Capitol Hill,2024,1138
486,THEFT/OTHER,Columbia Heights,2024,1545
487,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
488,THEFT/OTHER,Shaw,2024,1394
489,THEFT/OTHER,Navy Yard,2024,606
490,THEFT/OTHER,Sixteenth Street Heights,2024,839
491,THEFT/OTHER,Columbia Heights,2024,1545
492,THEFT F/AUTO,Dupont Circle,2024,696
493,THEFT/OTHER,Capitol Hill,2024,1138
494,THEFT F/AUTO,Shaw,2024,1394
495,THEFT/OTHER,Adams Morgan,2024,686
496,THEFT F/AUTO,Capitol Hill,2024,1138
497,THEFT F/AUTO,Adams Morgan,2024,686
498,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2024,839
499,THEFT F/AUTO,U Street Corridor,2024,287
500,THEFT/OTHER,Shaw,2024,1394
501,THEFT F/AUTO,Capitol Hill,2024,1138
502,THEFT/OTHER,Shaw,2024,1394
503,MOTOR VEHICLE THEFT,NoMa,2024,370
504,MOTOR VEHICLE THEFT,Petworth,2024,433
505,THEFT/OTHER,Adams Morgan,2024,686
506,THEFT/OTHER,Navy Yard,2024,606
507,THEFT F/AUTO,Adams Morgan,2024,686
508,THEFT/OTHER,Shaw,2024,1394
509,THEFT F/AUTO,Shaw,2024,1394
510,THEFT/OTHER,Adams Morgan,2024,686
511,THEFT/OTHER,Sixteenth Street Heights,2024,839
512,THEFT/OTHER,Columbia Heights,2024,1545
513,THEFT/OTHER,Columbia Heights,2024,1545
514,ASSAULT W/DANGEROUS WEAPON,Columbia Heights,2024,1545
515,MOTOR VEHICLE THEFT,Adams Morgan,2024,686
516,THEFT/OTHER,Columbia Heights,2024,1545
517,BURGLARY,Capitol Hill,2024,1138
518,THEFT/OTHER,Columbia Heights,2024,1545
519,THEFT F/AUTO,Adams Morgan,2024,686
520,THEFT F/AUTO,Columbia Heights,2024,1545
521,THEFT/OTHER,Adams Morgan,2024,686
522,THEFT/OTHER,Dupont Circle,2024,696
523,THEFT F/AUTO,Adams Morgan,2024,686
524,THEFT F/AUTO,Columbia Heights,2024,1545
525,THEFT/OTHER,Shaw,2024,1394
526,MOTOR VEHICLE THEFT,Navy Yard,2024,606
527,THEFT/OTHER,Columbia Heights,2024,1545
528,ROBBERY,Capitol Hill,2024,1138
529,THEFT/OTHER,Sixteenth Street Heights,2024,839
530,MOTOR VEHICLE THEFT,Adams Morgan,2024,686
531,THEFT F/AUTO,Sixteenth Street Heights,2024,839
532,MOTOR VEHICLE THEFT,Adams Morgan,2024,686
533,THEFT/OTHER,U Street Corridor,2024,287
534,BURGLARY,Capitol Hill,2024,1138
535,MOTOR VEHICLE THEFT,Sixteenth Street Heights,2024,839
536,MOTOR VEHICLE THEFT,NoMa,2024,370
537,ROBBERY,Dupont Circle,2024,696
