,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
0,THEFT/OTHER,Shaw,2024,1394
1,THEFT/OTHER,Columbia Heights,2024,1545
2,THEFT/OTHER,Capitol Hill,2024,1138
3,THEFT/OTHER,Adams Morgan,2024,686
4,MOTOR VEHICLE THEFT,Anacostia,2024,177
5,THEFT F/AUTO,Navy Yard,2024,606
6,ROBBERY,Columbia Heights,2024,1545
7,THEFT F/AUTO,Capitol Hill,2024,1138
8,THEFT F/AUTO,Shaw,2024,1394
9,THEFT F/AUTO,NoMa,2024,370
10,THEFT/OTHER,Adams Morgan,2024,686
11,THEFT F/AUTO,U Street Corridor,2024,287
12,THEFT F/AUTO,Petworth,2024,433
13,MOTOR VEHICLE THEFT,Petworth,2024,433
14,THEFT F/AUTO,Columbia Heights,2024,1545
15,MOTOR VEHICLE THEFT,Shaw,2024,1394
16,THEFT/OTHER,NoMa,2024,370
17,THEFT/OTHER,NoMa,2024,370
18,MOTOR VEHICLE THEFT,Columbia Heights,2024,1545
19,BURGLARY,Sixteenth Street Heights,2024,839
20,ROBBERY,Columbia Heights,2024,1545
21,THEFT F/AUTO,Petworth,2024,433
22,MOTOR VEHICLE THEFT,NoMa,2024,370
23,BURGLARY,Shaw,2024,1394
24,THEFT/OTHER,Capitol Hill,2024,1138
25,ROBBERY,Columbia Heights,2024,1545
26,THEFT/OTHER,Capitol Hill,2024,1138
27,THEFT/OTHER,Sixteenth Street Heights,2024,839
28,THEFT F/AUTO,Capitol Hill,2024,1138
29,THEFT F/AUTO,Columbia Heights,2024,1545
30,THEFT/OTHER,Capitol Hill,2024,1138
31,THEFT F/AUTO,Shaw,2024,1394
32,THEFT/OTHER,Adams Morgan,2024,686
33,THEFT/OTHER,Shaw,2024,1394
34,BURGLARY,Capitol Hill,2024,1138
35,THEFT/OTHER,Shaw,2024,1394
36,THEFT/OTHER,Capitol Hill,2024,1138
37,THEFT F/AUTO,Shaw,2024,1394
38,THEFT/OTHER,Columbia Heights,2024,1545
39,THEFT/OTHER,Sixteenth Street Heights,2024,839
40,THEFT F/AUTO,Columbia Heights,2024,1545
41,THEFT F/AUTO,Columbia Heights,2024,1545
42,MOTOR VEHICLE THEFT,Capitol Hill,2024,1138
43,THEFT/OTHER,Sixteenth Street Heights,2024,839
44,THEFT/OTHER,Shaw,2024,1394
45,THEFT/OTHER,Navy Yard,2024,606
46,HOMICIDE,Sixteenth Street Heights,2024,839
47,THEFT/OTHER,Adams Morgan,2024,686
