,RegionName,State,City,EndMonth,MedianHomeValue
1663,Shaw,DC,Washington,2022-03-31,836621.9623
1674,Navy Yard,DC,Washington,2022-03-31,742852.1648043673
1682,NoMa,DC,Washington,2022-03-31,567664.2964
1694,Anacostia,DC,Washington,2022-03-31,420623.2358835258
1770,Columbia Heights,DC,Washington,2022-04-30,678148.9912988468
1771,Capitol Hill,DC,Washington,2022-04-30,964085.6649291688
1772,Petworth,DC,Washington,2022-04-30,736176.6924
1773,Adams Morgan,DC,Washington,2022-04-30,594152.6169949755
1781,Shaw,DC,Washington,2022-04-30,841022.3903539217
1792,Navy Yard,DC,Washington,2022-04-30,736863.7736496074
1800,NoMa,DC,Washington,2022-04-30,565743.6036954236
1812,Anacostia,DC,Washington,2022-04-30,426466.2317118418
1888,Columbia Heights,DC,Washington,2022-05-31,681453.8246233274
1889,Capitol Hill,DC,Washington,2022-05-31,972182.2407516614
1890,Petworth,DC,Washington,2022-05-31,743720.1422352213
1891,Adams Morgan,DC,Washington,2022-05-31,594686.5807718518
1899,Shaw,DC,Washington,2022-05-31,843551.8313839114
1910,Navy Yard,DC,Washington,2022-05-31,732541.5293960137
1918,NoMa,DC,Washington,2022-05-31,563988.8393047077
1930,Anacostia,DC,Washington,2022-05-31,430008.2293756895
2006,Columbia Heights,DC,Washington,2022-06-30,681007.2251
2007,Capitol Hill,DC,Washington,2022-06-30,973121.9813833038
2008,Petworth,DC,Washington,2022-06-30,744761.1291675748
2009,Adams Morgan,DC,Washington,2022-06-30,593637.6085405193
2017,Shaw,DC,Washington,2022-06-30,841958.9923511721
2028,Navy Yard,DC,Washington,2022-06-30,725329.9528448418
2036,NoMa,DC,Washington,2022-06-30,561049.2489914042
2048,Anacostia,DC,Washington,2022-06-30,429898.7982331654
2124,Columbia Heights,DC,Washington,2022-07-31,677148.5245038932
2125,Capitol Hill,DC,Washington,2022-07-31,966942.3023780402
2126,Petworth,DC,Washington,2022-07-31,739851.3085474182
2127,Adams Morgan,DC,Washington,2022-07-31,589630.2075
2135,Shaw,DC,Washington,2022-07-31,836027.4011285243
2146,Navy Yard,DC,Washington,2022-07-31,715619.8718818038
2154,NoMa,DC,Washington,2022-07-31,558517.1392321842
2166,Anacostia,DC,Washington,2022-07-31,426863.56282172696
2242,Columbia Heights,DC,Washington,2022-08-31,671773.1907834857
2243,Capitol Hill,DC,Washington,2022-08-31,956152.5340215752
2244,Petworth,DC,Washington,2022-08-31,731264.0079
2245,Adams Morgan,DC,Washington,2022-08-31,583837.8143
2253,Shaw,DC,Washington,2022-08-31,827353.0057856339
2264,Navy Yard,DC,Washington,2022-08-31,705603.6394655863
2272,NoMa,DC,Washington,2022-08-31,555451.7002128417
2284,Anacostia,DC,Washington,2022-08-31,422585.4842574563
2360,Columbia Heights,DC,Washington,2022-09-30,664473.4214647808
2361,Capitol Hill,DC,Washington,2022-09-30,941887.3121937014
2362,Petworth,DC,Washington,2022-09-30,720285.1371845888
2363,Adams Morgan,DC,Washington,2022-09-30,576673.5559
2371,Shaw,DC,Washington,2022-09-30,815613.9640118731
2382,Navy Yard,DC,Washington,2022-09-30,697710.6039384428
2390,NoMa,DC,Washington,2022-09-30,552827.6394189964
2402,Anacostia,DC,Washington,2022-09-30,417149.7593256541
2478,Columbia Heights,DC,Washington,2022-10-31,659049.0898689205
2479,Capitol Hill,DC,Washington,2022-10-31,932006.3632418498
2480,Petworth,DC,Washington,2022-10-31,712091.8137684045
2481,Adams Morgan,DC,Washington,2022-10-31,572321.6036246362
2489,Shaw,DC,Washington,2022-10-31,806683.4452
2500,Navy Yard,DC,Washington,2022-10-31,692344.5612198649
2508,NoMa,DC,Washington,2022-10-31,550299.6067498232
2520,Anacostia,DC,Washington,2022-10-31,412460.4997629945
2596,Columbia Heights,DC,Washington,2022-11-30,654462.9377265566
2597,Capitol Hill,DC,Washington,2022-11-30,927161.2139817084
2598,Petworth,DC,Washington,2022-11-30,706038.5797245152
2599,Adams Morgan,DC,Washington,2022-11-30,569744.9556259761
2607,Shaw,DC,Washington,2022-11-30,799849.4573456402
2618,Navy Yard,DC,Washington,2022-11-30,687497.8064987686
2626,NoMa,DC,Washington,2022-11-30,545588.2787282263
2638,Anacostia,DC,Washington,2022-11-30,407865.74856871733
2714,Columbia Heights,DC,Washington,2022-12-31,650735.1513484869
2715,Capitol Hill,DC,Washington,2022-12-31,925015.1402
2716,Petworth,DC,Washington,2022-12-31,701346.5004937941
2717,Adams Morgan,DC,Washington,2022-12-31,568832.2914419762
2725,Shaw,DC,Washington,2022-12-31,795713.5334
2736,Navy Yard,DC,Washington,2022-12-31,682655.0795136767
2744,NoMa,DC,Washington,2022-12-31,538372.3836547768
2756,Anacostia,DC,Washington,2022-12-31,403895.11233120546
2832,Columbia Heights,DC,Washington,2023-01-31,647115.1628529631
2833,Capitol Hill,DC,Washington,2023-01-31,924458.32777422
2834,Petworth,DC,Washington,2023-01-31,697220.7514240503
2835,Adams Morgan,DC,Washington,2023-01-31,567670.0424474573
2843,Shaw,DC,Washington,2023-01-31,791459.9740519508
2854,Navy Yard,DC,Washington,2023-01-31,676728.7382306267
2862,NoMa,DC,Washington,2023-01-31,528307.4031562839
2874,Anacostia,DC,Washington,2023-01-31,401033.1768171571
2950,Columbia Heights,DC,Washington,2023-02-28,644722.4075457581
2951,Capitol Hill,DC,Washington,2023-02-28,924417.2050095126
2952,Petworth,DC,Washington,2023-02-28,694451.0185153651
2953,Adams Morgan,DC,Washington,2023-02-28,567257.2095453999
2961,Shaw,DC,Washington,2023-02-28,789776.6654494107
2972,Navy Yard,DC,Washington,2023-02-28,672055.4424193009
2980,NoMa,DC,Washington,2023-02-28,519904.1126
2992,Anacostia,DC,Washington,2023-02-28,399404.9201947707
3068,Columbia Heights,DC,Washington,2023-03-31,643396.9898326925
3069,Capitol Hill,DC,Washington,2023-03-31,925263.244468226
3070,Petworth,DC,Washington,2023-03-31,692353.8590863594
3071,Adams Morgan,DC,Washington,2023-03-31,567135.8607231672
3079,Shaw,DC,Washington,2023-03-31,788968.3907734803
3090,Navy Yard,DC,Washington,2023-03-31,669934.3163957183
3098,NoMa,DC,Washington,2023-03-31,514101.7206880997
3110,Anacostia,DC,Washington,2023-03-31,398259.9024066625
3186,Columbia Heights,DC,Washington,2023-04-30,642441.1413457711
3187,Capitol Hill,DC,Washington,2023-04-30,925629.0411
3188,Petworth,DC,Washington,2023-04-30,690130.0928103776
3189,Adams Morgan,DC,Washington,2023-04-30,567448.8468245458
3197,Shaw,DC,Washington,2023-04-30,789419.7752099455
3208,Navy Yard,DC,Washington,2023-04-30,671447.0546394442
